node_id	cluster_id	degree
670	bucket_1	2
671	bucket_2	5
672	bucket_1	2
673	bucket_1	2
674	bucket_1	2
675	bucket_1	2
676	bucket_1	2
677	bucket_13	3
678	bucket_1	2
679	bucket_1	2
680	bucket_1	2
681	bucket_15	5
682	bucket_1	3
683	bucket_0	4
684	bucket_1	2
685	bucket_5	4
686	bucket_11	3
687	bucket_13	4
688	bucket_5	4
689	bucket_2	6
690	bucket_9	12
691	bucket_9	17
692	bucket_9	16
693	bucket_14	9
694	bucket_4	10
695	bucket_3	6
696	bucket_1	3
697	bucket_1	4
698	bucket_1	4
699	bucket_5	4
700	bucket_2	5
701	bucket_1	2
702	bucket_1	3
703	bucket_1	1
704	bucket_1	2
705	bucket_2	5
706	bucket_1	2
707	bucket_1	2
708	bucket_1	2
709	bucket_1	2
710	bucket_1	2
711	bucket_13	3
712	bucket_1	2
713	bucket_1	2
714	bucket_1	2
715	bucket_15	5
716	bucket_1	3
717	bucket_1	3
718	bucket_1	2
719	bucket_5	4
720	bucket_11	3
721	bucket_13	4
722	bucket_5	4
723	bucket_2	6
724	bucket_9	12
725	bucket_9	17
726	bucket_9	16
727	bucket_14	10
728	bucket_4	10
729	bucket_3	6
730	bucket_1	3
731	bucket_1	4
732	bucket_1	4
733	bucket_15	5
734	bucket_2	5
735	bucket_1	2
736	bucket_1	3
737	bucket_1	1
738	bucket_0	3
739	bucket_2	5
740	bucket_1	2
741	bucket_1	2
742	bucket_1	2
743	bucket_1	2
744	bucket_1	2
745	bucket_13	3
746	bucket_1	2
747	bucket_1	2
748	bucket_11	3
749	bucket_15	5
750	bucket_1	3
751	bucket_1	3
752	bucket_15	5
753	bucket_5	4
754	bucket_11	3
755	bucket_5	4
756	bucket_5	4
757	bucket_2	6
758	bucket_9	12
759	bucket_9	17
760	bucket_9	16
761	bucket_14	9
762	bucket_4	10
763	bucket_3	6
764	bucket_1	3
765	bucket_1	4
766	bucket_1	4
767	bucket_5	4
768	bucket_2	5
769	bucket_1	2
770	bucket_1	3
771	bucket_1	1
772	bucket_1	2
773	bucket_2	5
774	bucket_1	2
775	bucket_1	2
776	bucket_1	2
777	bucket_1	2
778	bucket_1	2
779	bucket_13	3
780	bucket_1	2
781	bucket_1	2
782	bucket_1	2
783	bucket_15	5
784	bucket_1	3
785	bucket_1	3
786	bucket_0	5
787	bucket_5	4
788	bucket_11	3
789	bucket_5	4
790	bucket_5	4
791	bucket_2	6
792	bucket_9	12
793	bucket_9	17
794	bucket_9	16
795	bucket_14	9
796	bucket_4	10
797	bucket_3	6
798	bucket_1	3
799	bucket_1	4
800	bucket_1	4
801	bucket_15	5
802	bucket_2	5
803	bucket_1	2
804	bucket_1	3
805	bucket_1	1
806	bucket_1	2
807	bucket_2	5
808	bucket_1	2
809	bucket_1	2
810	bucket_1	2
811	bucket_1	2
812	bucket_1	2
813	bucket_13	3
814	bucket_1	2
815	bucket_11	3
816	bucket_1	2
817	bucket_15	5
818	bucket_1	3
819	bucket_1	3
820	bucket_1	2
821	bucket_5	4
822	bucket_11	3
823	bucket_13	4
824	bucket_5	4
825	bucket_2	6
826	bucket_9	12
827	bucket_9	18
828	bucket_9	17
829	bucket_14	9
830	bucket_4	11
831	bucket_3	6
832	bucket_1	3
833	bucket_1	4
834	bucket_1	4
835	bucket_5	4
836	bucket_2	5
837	bucket_1	2
838	bucket_1	3
839	bucket_1	1
840	bucket_1	2
841	bucket_2	5
842	bucket_1	2
843	bucket_1	2
844	bucket_1	2
845	bucket_1	2
846	bucket_1	2
847	bucket_13	3
848	bucket_1	2
849	bucket_1	2
850	bucket_1	2
851	bucket_15	5
852	bucket_1	3
853	bucket_1	3
854	bucket_0	5
855	bucket_5	4
856	bucket_11	3
857	bucket_15	5
858	bucket_5	4
859	bucket_3	7
860	bucket_9	12
861	bucket_9	17
862	bucket_9	16
863	bucket_14	9
864	bucket_4	10
865	bucket_3	6
866	bucket_1	3
867	bucket_1	4
868	bucket_1	4
869	bucket_5	4
870	bucket_2	5
871	bucket_1	2
872	bucket_1	3
873	bucket_1	1
874	bucket_1	2
875	bucket_2	5
876	bucket_1	2
877	bucket_1	2
878	bucket_1	2
879	bucket_1	2
880	bucket_1	2
881	bucket_13	3
882	bucket_1	2
883	bucket_1	2
884	bucket_1	2
885	bucket_15	5
886	bucket_1	3
887	bucket_1	3
888	bucket_2	5
889	bucket_5	4
890	bucket_11	3
891	bucket_5	4
892	bucket_5	4
893	bucket_2	6
894	bucket_9	12
895	bucket_9	17
896	bucket_9	16
897	bucket_14	9
898	bucket_4	10
899	bucket_3	6
900	bucket_1	3
901	bucket_1	4
902	bucket_1	4
903	bucket_5	4
904	bucket_2	5
905	bucket_1	2
906	bucket_1	3
907	bucket_1	1
908	bucket_1	2
909	bucket_2	5
910	bucket_1	2
911	bucket_5	4
912	bucket_1	2
913	bucket_11	3
914	bucket_1	2
915	bucket_13	3
916	bucket_1	2
917	bucket_1	2
918	bucket_1	2
919	bucket_15	5
920	bucket_1	3
921	bucket_1	3
922	bucket_15	5
923	bucket_5	4
924	bucket_11	3
925	bucket_5	4
926	bucket_5	4
927	bucket_2	6
928	bucket_9	12
929	bucket_9	17
930	bucket_9	16
931	bucket_14	9
932	bucket_4	10
933	bucket_3	6
934	bucket_1	3
935	bucket_1	4
936	bucket_1	4
937	bucket_5	4
938	bucket_2	5
939	bucket_1	2
940	bucket_1	3
941	bucket_1	1
942	bucket_1	2
943	bucket_2	5
944	bucket_11	3
945	bucket_1	2
946	bucket_1	2
947	bucket_1	2
948	bucket_1	2
949	bucket_13	3
950	bucket_1	2
951	bucket_1	2
952	bucket_1	2
953	bucket_3	6
954	bucket_1	3
955	bucket_1	3
956	bucket_1	2
957	bucket_5	4
958	bucket_11	3
959	bucket_13	4
960	bucket_5	4
961	bucket_2	6
962	bucket_9	12
963	bucket_9	17
964	bucket_9	16
965	bucket_14	9
966	bucket_4	10
967	bucket_3	7
968	bucket_1	3
969	bucket_0	4
970	bucket_0	5
971	bucket_5	4
972	bucket_2	5
973	bucket_1	2
974	bucket_1	3
975	bucket_1	1
976	bucket_1	2
977	bucket_2	5
978	bucket_1	2
979	bucket_1	2
980	bucket_1	2
981	bucket_1	2
982	bucket_1	2
983	bucket_13	3
984	bucket_1	2
985	bucket_1	2
986	bucket_11	3
987	bucket_15	5
988	bucket_1	3
989	bucket_1	3
990	bucket_1	2
991	bucket_5	4
992	bucket_5	4
993	bucket_13	4
994	bucket_5	4
995	bucket_2	6
996	bucket_9	12
997	bucket_9	17
998	bucket_9	16
999	bucket_14	9
1000	bucket_4	10
1001	bucket_3	6
1002	bucket_1	3
1003	bucket_1	4
1004	bucket_1	4
1005	bucket_5	4
1006	bucket_2	5
1007	bucket_1	2
1008	bucket_1	3
1009	bucket_1	1
1010	bucket_1	2
1011	bucket_2	5
1012	bucket_1	2
1013	bucket_1	2
1014	bucket_1	2
1015	bucket_1	2
1016	bucket_1	2
1017	bucket_13	3
1018	bucket_1	2
1019	bucket_1	2
1020	bucket_1	2
1021	bucket_15	5
1022	bucket_1	3
1023	bucket_1	3
1024	bucket_0	5
1025	bucket_5	4
1026	bucket_11	3
1027	bucket_5	4
1028	bucket_5	4
1029	bucket_2	6
1030	bucket_9	13
1031	bucket_9	17
1032	bucket_9	16
1033	bucket_14	9
1034	bucket_4	10
1035	bucket_3	6
1036	bucket_1	3
1037	bucket_1	4
1038	bucket_1	4
1039	bucket_15	5
1040	bucket_2	5
1041	bucket_1	2
1042	bucket_1	3
1043	bucket_1	1
1044	bucket_1	2
1045	bucket_2	5
1046	bucket_1	2
1047	bucket_1	2
1048	bucket_1	2
1049	bucket_1	2
1050	bucket_1	2
1051	bucket_13	3
1052	bucket_1	2
1053	bucket_1	2
1054	bucket_1	2
1055	bucket_15	5
1056	bucket_1	3
1057	bucket_1	3
1058	bucket_0	5
1059	bucket_5	4
1060	bucket_11	3
1061	bucket_5	4
1062	bucket_5	4
1063	bucket_2	6
1064	bucket_9	12
1065	bucket_9	17
1066	bucket_9	16
1067	bucket_14	9
1068	bucket_4	10
1069	bucket_3	6
1070	bucket_1	3
1071	bucket_1	4
1072	bucket_1	4
1073	bucket_5	4
1074	bucket_2	5
1075	bucket_1	2
1076	bucket_1	3
1077	bucket_1	1
1078	bucket_1	2
1079	bucket_2	5
1080	bucket_1	2
1081	bucket_1	2
1082	bucket_1	2
1083	bucket_1	2
1084	bucket_1	2
1085	bucket_13	3
1086	bucket_1	2
1087	bucket_1	2
1088	bucket_1	2
1089	bucket_15	5
1090	bucket_1	3
1091	bucket_1	3
1092	bucket_0	5
1093	bucket_5	4
1094	bucket_11	3
1095	bucket_5	4
1096	bucket_5	4
1097	bucket_2	6
1098	bucket_9	12
1099	bucket_9	17
1100	bucket_9	16
1101	bucket_14	9
1102	bucket_4	10
1103	bucket_3	6
1104	bucket_1	3
1105	bucket_1	4
1106	bucket_1	4
1107	bucket_5	4
1108	bucket_2	5
1109	bucket_1	2
1110	bucket_1	3
1111	bucket_1	1
1112	bucket_1	2
1113	bucket_2	5
1114	bucket_1	2
1115	bucket_1	2
1116	bucket_1	2
1117	bucket_1	2
1118	bucket_1	2
1119	bucket_13	3
1120	bucket_1	2
1121	bucket_1	2
1122	bucket_1	2
1123	bucket_15	5
1124	bucket_1	3
1125	bucket_1	3
1126	bucket_2	5
1127	bucket_5	4
1128	bucket_11	3
1129	bucket_5	4
1130	bucket_5	4
1131	bucket_2	6
1132	bucket_9	12
1133	bucket_9	17
1134	bucket_9	16
1135	bucket_14	9
1136	bucket_4	10
1137	bucket_3	6
1138	bucket_1	3
1139	bucket_1	4
1140	bucket_1	4
1141	bucket_5	4
1142	bucket_2	5
1143	bucket_1	2
1144	bucket_1	3
1145	bucket_1	1
1146	bucket_1	2
1147	bucket_2	5
1148	bucket_1	2
1149	bucket_1	2
1150	bucket_1	2
1151	bucket_11	3
1152	bucket_1	2
1153	bucket_13	3
1154	bucket_1	2
1155	bucket_1	2
1156	bucket_11	3
1157	bucket_15	5
1158	bucket_1	3
1159	bucket_1	3
1160	bucket_0	5
1161	bucket_5	4
1162	bucket_11	3
1163	bucket_5	4
1164	bucket_5	4
1165	bucket_2	6
1166	bucket_9	12
1167	bucket_9	17
1168	bucket_1	3
1169	bucket_1	2
1170	bucket_7	6
1171	bucket_1	2
1172	bucket_1	2
1173	bucket_1	2
1174	bucket_1	2
1175	bucket_1	2
1176	bucket_12	4
1177	bucket_8	4
1178	bucket_16	3
1179	bucket_6	5
1180	bucket_1	2
1181	bucket_1	2
1182	bucket_1	1
1183	bucket_8	4
1184	bucket_1	4
1185	bucket_1	1
1186	bucket_10	9
1187	bucket_0	3
1188	bucket_1	2
1189	bucket_1	2
1190	bucket_1	2
1191	bucket_1	2
1192	bucket_7	6
